"","scenario","stock","year","indicator","q05","q50","q95"
"1","CCpe85","HKE",2000,"catch",0,0,0
"2","CCpe85","HKE",2000,"f",0,0,0
"3","CCpe85","HKE",2000,"rec",439243.8,439243.8,439243.8
"4","CCpe85","HKE",2000,"ssb",39051.6,39051.6,39051.6
"5","CCpe85","HKE",2001,"catch",0,0,0
"6","CCpe85","HKE",2001,"f",0,0,0
"7","CCpe85","HKE",2001,"rec",759622.6,759622.6,759622.6
"8","CCpe85","HKE",2001,"ssb",40741,40741,40741
"9","CCpe85","HKE",2002,"catch",0,0,0
"10","CCpe85","HKE",2002,"f",0,0,0
"11","CCpe85","HKE",2002,"rec",589414,589414,589414
"12","CCpe85","HKE",2002,"ssb",40091.7,40091.7,40091.7
"13","CCpe85","HKE",2003,"catch",0,0,0
"14","CCpe85","HKE",2003,"f",0,0,0
"15","CCpe85","HKE",2003,"rec",445110,445110,445110
"16","CCpe85","HKE",2003,"ssb",41879.7,41879.7,41879.7
"17","CCpe85","HKE",2004,"catch",0,0,0
"18","CCpe85","HKE",2004,"f",0,0,0
"19","CCpe85","HKE",2004,"rec",1099152,1099152,1099152
"20","CCpe85","HKE",2004,"ssb",44535.8,44535.8,44535.8
"21","CCpe85","HKE",2005,"catch",0,0,0
"22","CCpe85","HKE",2005,"f",0,0,0
"23","CCpe85","HKE",2005,"rec",569922,569922,569922
"24","CCpe85","HKE",2005,"ssb",43041.9,43041.9,43041.9
"25","CCpe85","HKE",2006,"catch",0,0,0
"26","CCpe85","HKE",2006,"f",0,0,0
"27","CCpe85","HKE",2006,"rec",1192018,1192018,1192018
"28","CCpe85","HKE",2006,"ssb",45885.1,45885.1,45885.1
"29","CCpe85","HKE",2007,"catch",0,0,0
"30","CCpe85","HKE",2007,"f",0,0,0
"31","CCpe85","HKE",2007,"rec",2159006,2159006,2159006
"32","CCpe85","HKE",2007,"ssb",64177.8,64177.8,64177.8
"33","CCpe85","HKE",2008,"catch",0,0,0
"34","CCpe85","HKE",2008,"f",0,0,0
"35","CCpe85","HKE",2008,"rec",1712402,1712402,1712402
"36","CCpe85","HKE",2008,"ssb",82270.4,82270.4,82270.4
"37","CCpe85","HKE",2009,"catch",0,0,0
"38","CCpe85","HKE",2009,"f",0,0,0
"39","CCpe85","HKE",2009,"rec",540531.8,540531.8,540531.8
"40","CCpe85","HKE",2009,"ssb",125660,125660,125660
"41","CCpe85","HKE",2010,"catch",0,0,0
"42","CCpe85","HKE",2010,"f",0,0,0
"43","CCpe85","HKE",2010,"rec",932764,932764,932764
"44","CCpe85","HKE",2010,"ssb",202255,202255,202255
"45","CCpe85","HKE",2011,"catch",0,0,0
"46","CCpe85","HKE",2011,"f",0,0,0
"47","CCpe85","HKE",2011,"rec",1065938,1065938,1065938
"48","CCpe85","HKE",2011,"ssb",253759,253759,253759
"49","CCpe85","HKE",2012,"catch",0,0,0
"50","CCpe85","HKE",2012,"f",0,0,0
"51","CCpe85","HKE",2012,"rec",2031048,2031048,2031048
"52","CCpe85","HKE",2012,"ssb",253980,253980,253980
"53","CCpe85","HKE",2013,"catch",0,0,0
"54","CCpe85","HKE",2013,"f",0,0,0
"55","CCpe85","HKE",2013,"rec",940459.2,940459.2,940459.2
"56","CCpe85","HKE",2013,"ssb",248863,248863,248863
"57","CCpe85","HKE",2014,"catch",0,0,0
"58","CCpe85","HKE",2014,"f",0,0,0
"59","CCpe85","HKE",2014,"rec",659780,659780,659780
"60","CCpe85","HKE",2014,"ssb",267180,267180,267180
"61","CCpe85","HKE",2015,"catch",0,0,0
"62","CCpe85","HKE",2015,"f",0,0,0
"63","CCpe85","HKE",2015,"rec",828652,828652,828652
"64","CCpe85","HKE",2015,"ssb",294240,294240,294240
"65","CCpe85","HKE",2016,"catch",0,0,0
"66","CCpe85","HKE",2016,"f",0,0,0
"67","CCpe85","HKE",2016,"rec",1149078,1149078,1149078
"68","CCpe85","HKE",2016,"ssb",289381,289381,289381
"69","CCpe85","HKE",2017,"catch",0,0,0
"70","CCpe85","HKE",2017,"f",0,0,0
"71","CCpe85","HKE",2017,"rec",983550,983550,983550
"72","CCpe85","HKE",2017,"ssb",252412,252412,252412
"73","CCpe85","HKE",2018,"catch",0,0,0
"74","CCpe85","HKE",2018,"f",0,0,0
"75","CCpe85","HKE",2018,"rec",676762,676762,676762
"76","CCpe85","HKE",2018,"ssb",220187,220187,220187
"77","CCpe85","HKE",2019,"catch",96067.4431754973,96067.4431754973,96067.4431754973
"78","CCpe85","HKE",2019,"f",0.209689834873581,0.209689834873581,0.209689834873581
"79","CCpe85","HKE",2019,"rec",812396.4,812396.4,812396.4
"80","CCpe85","HKE",2019,"ssb",206897,206897,206897
"81","CCpe85","HKE",2020,"catch",83401.6266608402,83401.6266608402,83401.6266608402
"82","CCpe85","HKE",2020,"f",0.189343572681526,0.189343572681526,0.189343572681526
"83","CCpe85","HKE",2020,"rec",500738.2,500738.2,500738.2
"84","CCpe85","HKE",2020,"ssb",199969,199969,199969
"85","CCpe85","HKE",2021,"catch",78260.6189079861,78260.6189079861,78260.6189079861
"86","CCpe85","HKE",2021,"f",0.182313317019013,0.182313317019013,0.182313317019013
"87","CCpe85","HKE",2021,"rec",573606,573606,573606
"88","CCpe85","HKE",2021,"ssb",195117,195117,195117
"89","CCpe85","HKE",2022,"catch",74934,74934,74934
"90","CCpe85","HKE",2022,"f",0.295403624585496,0.299805107366913,0.303397293383811
"91","CCpe85","HKE",2022,"rec",537221.030014285,935403.290358524,2066224.78579518
"92","CCpe85","HKE",2022,"ssb",121294.615843005,123432.101350271,125681.978176766
"93","CCpe85","HKE",2023,"catch",88136.585356057,88136.585356057,88136.585356057
"94","CCpe85","HKE",2023,"f",0.424272098344222,0.447896076711412,0.459617635219843
"95","CCpe85","HKE",2023,"rec",446606.54175619,950606.652817502,2189237.05475117
"96","CCpe85","HKE",2023,"ssb",100741.479074476,102692.178971343,104753.775069767
"97","CCpe85","HKE",2024,"catch",57994.8679153448,61897.7333751726,73650.3839096437
"98","CCpe85","HKE",2024,"f",0.377627725880487,0.405132765365323,0.422665123020915
"99","CCpe85","HKE",2024,"rec",411167.334229356,869591.420285729,1653253.08411204
"100","CCpe85","HKE",2024,"ssb",71510.1837941298,75197.5454621454,87225.5238302124
"101","CCpe85","HKE",2025,"catch",27304.5954531977,40304.0994168509,60485.1077603699
"102","CCpe85","HKE",2025,"f",0.217935516695301,0.266216178920385,0.285969778351835
"103","CCpe85","HKE",2025,"rec",424342.299761144,813163.637930098,1498192.40422347
"104","CCpe85","HKE",2025,"ssb",58839.1934870806,71280.6909372552,103433.13172985
"105","CCpe85","HKE",2026,"catch",0,32032.2371170509,56224.3508684608
"106","CCpe85","HKE",2026,"f",0,0.179637197058175,0.218368599562848
"107","CCpe85","HKE",2026,"rec",399480.381932449,827513.724097093,1920221.64155803
"108","CCpe85","HKE",2026,"ssb",62434.0722404994,81140.5169677706,132096.855538394
"109","CCpe85","HKE",2027,"catch",29859.5292890383,45476.118584221,68725.8707765533
"110","CCpe85","HKE",2027,"f",0.160989624666477,0.216700389606744,0.227630028289534
"111","CCpe85","HKE",2027,"rec",442945.484223587,887099.025067152,1790851.73344604
"112","CCpe85","HKE",2027,"ssb",82402.4450889024,101168.439719443,153463.82414896
"113","CCpe85","HKE",2028,"catch",47474.9243067589,58765.4024992861,82230.5312968813
"114","CCpe85","HKE",2028,"f",0.23650758102212,0.250190665896439,0.301137310497896
"115","CCpe85","HKE",2028,"rec",433262.697830299,959796.096323103,1860723.99013468
