"","years","rmodel","SSBmed","SSBmin","SSBmax","Rmed","Rmin","Rmax","Fmed","Fmin","Fmax","Cmed","Cmin","Cmax"
"1",1977,"env_EM_OM1",44388.1633277794,44388.1633277794,44388.1633277794,1164705.71597705,1164705.71597705,1164705.71597705,0.734208068905754,0.734208068905754,0.734208068905754,22617.6911812932,22617.6911812932,22617.6911812932
"2",1977,"no_env_EM_OM2",44388.1633277794,44388.1633277794,44388.1633277794,1164705.71597705,1164705.71597705,1164705.71597705,0.734208068905754,0.734208068905754,0.734208068905754,22617.6911812932,22617.6911812932,22617.6911812932
"3",1978,"env_EM_OM1",39182.7558832113,39182.7558832113,39182.7558832113,1026640.50557747,1026640.50557747,1026640.50557747,0.538035250431146,0.538035250431146,0.538035250431146,16514.3609792651,16514.3609792651,16514.3609792651
"4",1978,"no_env_EM_OM2",39182.7558832113,39182.7558832113,39182.7558832113,1026640.50557747,1026640.50557747,1026640.50557747,0.538035250431146,0.538035250431146,0.538035250431146,16514.3609792651,16514.3609792651,16514.3609792651
"5",1979,"env_EM_OM1",34611.4050281031,34611.4050281031,34611.4050281031,1096989.21546245,1096989.21546245,1096989.21546245,0.516197992098438,0.516197992098438,0.516197992098438,15743.9955367463,15743.9955367463,15743.9955367463
"6",1979,"no_env_EM_OM2",34611.4050281031,34611.4050281031,34611.4050281031,1096989.21546245,1096989.21546245,1096989.21546245,0.516197992098438,0.516197992098438,0.516197992098438,15743.9955367463,15743.9955367463,15743.9955367463
"7",1980,"env_EM_OM1",36041.7579788517,36041.7579788517,36041.7579788517,979012.52779194,979012.52779194,979012.52779194,0.454896578119301,0.454896578119301,0.454896578119301,14597.7718119163,14597.7718119163,14597.7718119163
"8",1980,"no_env_EM_OM2",36041.7579788517,36041.7579788517,36041.7579788517,979012.52779194,979012.52779194,979012.52779194,0.454896578119301,0.454896578119301,0.454896578119301,14597.7718119163,14597.7718119163,14597.7718119163
"9",1981,"env_EM_OM1",36986.682227549,36986.682227549,36986.682227549,1902805.73172165,1902805.73172165,1902805.73172165,0.474895757322161,0.474895757322161,0.474895757322161,14894.0406160895,14894.0406160895,14894.0406160895
"10",1981,"no_env_EM_OM2",36986.682227549,36986.682227549,36986.682227549,1902805.73172165,1902805.73172165,1902805.73172165,0.474895757322161,0.474895757322161,0.474895757322161,14894.0406160895,14894.0406160895,14894.0406160895
"11",1982,"env_EM_OM1",35156.6817392781,35156.6817392781,35156.6817392781,1459433.91301915,1459433.91301915,1459433.91301915,0.455897981638435,0.455897981638435,0.455897981638435,14832.4689832481,14832.4689832481,14832.4689832481
"12",1982,"no_env_EM_OM2",35156.6817392781,35156.6817392781,35156.6817392781,1459433.91301915,1459433.91301915,1459433.91301915,0.455897981638435,0.455897981638435,0.455897981638435,14832.4689832481,14832.4689832481,14832.4689832481
"13",1983,"env_EM_OM1",43615.0619175348,43615.0619175348,43615.0619175348,2798100.75502288,2798100.75502288,2798100.75502288,0.480998952872682,0.480998952872682,0.480998952872682,17643.4673146774,17643.4673146774,17643.4673146774
"14",1983,"no_env_EM_OM2",43615.0619175348,43615.0619175348,43615.0619175348,2798100.75502288,2798100.75502288,2798100.75502288,0.480998952872682,0.480998952872682,0.480998952872682,17643.4673146774,17643.4673146774,17643.4673146774
"15",1984,"env_EM_OM1",34985.1675746321,34985.1675746321,34985.1675746321,1641443.18106757,1641443.18106757,1641443.18106757,0.515024039215716,0.515024039215716,0.515024039215716,16119.9245772488,16119.9245772488,16119.9245772488
"16",1984,"no_env_EM_OM2",34985.1675746321,34985.1675746321,34985.1675746321,1641443.18106757,1641443.18106757,1641443.18106757,0.515024039215716,0.515024039215716,0.515024039215716,16119.9245772488,16119.9245772488,16119.9245772488
"17",1985,"env_EM_OM1",48695.8794227596,48695.8794227596,48695.8794227596,1291981.42775299,1291981.42775299,1291981.42775299,0.438523189863372,0.438523189863372,0.438523189863372,17443.5260263365,17443.5260263365,17443.5260263365
"18",1985,"no_env_EM_OM2",48695.8794227596,48695.8794227596,48695.8794227596,1291981.42775299,1291981.42775299,1291981.42775299,0.438523189863372,0.438523189863372,0.438523189863372,17443.5260263365,17443.5260263365,17443.5260263365
"19",1986,"env_EM_OM1",58460.1111734127,58460.1111734127,58460.1111734127,4213227.65644964,4213227.65644964,4213227.65644964,0.354187295223987,0.354187295223987,0.354187295223987,17476.0667064873,17476.0667064873,17476.0667064873
"20",1986,"no_env_EM_OM2",58460.1111734127,58460.1111734127,58460.1111734127,4213227.65644964,4213227.65644964,4213227.65644964,0.354187295223987,0.354187295223987,0.354187295223987,17476.0667064873,17476.0667064873,17476.0667064873
"21",1987,"env_EM_OM1",46877.038174343,46877.038174343,46877.038174343,677652.133746901,677652.133746901,677652.133746901,0.252204015679298,0.252204015679298,0.252204015679298,12307.0105376348,12307.0105376348,12307.0105376348
"22",1987,"no_env_EM_OM2",46877.038174343,46877.038174343,46877.038174343,677652.133746901,677652.133746901,677652.133746901,0.252204015679298,0.252204015679298,0.252204015679298,12307.0105376348,12307.0105376348,12307.0105376348
"23",1988,"env_EM_OM1",83903.8045061761,83903.8045061761,83903.8045061761,1495144.25632169,1495144.25632169,1495144.25632169,0.278457938789992,0.278457938789992,0.278457938789992,18726.7161328078,18726.7161328078,18726.7161328078
"24",1988,"no_env_EM_OM2",83903.8045061761,83903.8045061761,83903.8045061761,1495144.25632169,1495144.25632169,1495144.25632169,0.278457938789992,0.278457938789992,0.278457938789992,18726.7161328078,18726.7161328078,18726.7161328078
"25",1989,"env_EM_OM1",54118.046678791,54118.046678791,54118.046678791,3983571.20526471,3983571.20526471,3983571.20526471,0.230928861572073,0.230928861572073,0.230928861572073,11685.1021745809,11685.1021745809,11685.1021745809
"26",1989,"no_env_EM_OM2",54118.046678791,54118.046678791,54118.046678791,3983571.20526471,3983571.20526471,3983571.20526471,0.230928861572073,0.230928861572073,0.230928861572073,11685.1021745809,11685.1021745809,11685.1021745809
"27",1990,"env_EM_OM1",70646.6598310493,70646.6598310493,70646.6598310493,4365582.01392792,4365582.01392792,4365582.01392792,0.175598216668203,0.175598216668203,0.175598216668203,13698.512284126,13698.512284126,13698.512284126
"28",1990,"no_env_EM_OM2",70646.6598310493,70646.6598310493,70646.6598310493,4365582.01392792,4365582.01392792,4365582.01392792,0.175598216668203,0.175598216668203,0.175598216668203,13698.512284126,13698.512284126,13698.512284126
"29",1991,"env_EM_OM1",73955.1887958753,73955.1887958753,73955.1887958753,5090211.82639326,5090211.82639326,5090211.82639326,0.23312602859476,0.23312602859476,0.23312602859476,15928.8184929852,15928.8184929852,15928.8184929852
"30",1991,"no_env_EM_OM2",73955.1887958753,73955.1887958753,73955.1887958753,5090211.82639326,5090211.82639326,5090211.82639326,0.23312602859476,0.23312602859476,0.23312602859476,15928.8184929852,15928.8184929852,15928.8184929852
"31",1992,"env_EM_OM1",90653.862507217,90653.862507217,90653.862507217,3924176.12850599,3924176.12850599,3924176.12850599,0.255103140379222,0.255103140379222,0.255103140379222,21065.2346970141,21065.2346970141,21065.2346970141
"32",1992,"no_env_EM_OM2",90653.862507217,90653.862507217,90653.862507217,3924176.12850599,3924176.12850599,3924176.12850599,0.255103140379222,0.255103140379222,0.255103140379222,21065.2346970141,21065.2346970141,21065.2346970141
"33",1993,"env_EM_OM1",106743.305532827,106743.305532827,106743.305532827,3438583.83739141,3438583.83739141,3438583.83739141,0.233258809823759,0.233258809823759,0.233258809823759,22560.7100623266,22560.7100623266,22560.7100623266
"34",1993,"no_env_EM_OM2",106743.305532827,106743.305532827,106743.305532827,3438583.83739141,3438583.83739141,3438583.83739141,0.233258809823759,0.233258809823759,0.233258809823759,22560.7100623266,22560.7100623266,22560.7100623266
"35",1994,"env_EM_OM1",112418.229749229,112418.229749229,112418.229749229,4104470.85518611,4104470.85518611,4104470.85518611,0.241379280547629,0.241379280547629,0.241379280547629,24706.1361022228,24706.1361022228,24706.1361022228
"36",1994,"no_env_EM_OM2",112418.229749229,112418.229749229,112418.229749229,4104470.85518611,4104470.85518611,4104470.85518611,0.241379280547629,0.241379280547629,0.241379280547629,24706.1361022228,24706.1361022228,24706.1361022228
"37",1995,"env_EM_OM1",105375.173519614,105375.173519614,105375.173519614,5780849.57486228,5780849.57486228,5780849.57486228,0.321942318210455,0.321942318210455,0.321942318210455,31685.1169691826,31685.1169691826,31685.1169691826
"38",1995,"no_env_EM_OM2",105375.173519614,105375.173519614,105375.173519614,5780849.57486228,5780849.57486228,5780849.57486228,0.321942318210455,0.321942318210455,0.321942318210455,31685.1169691826,31685.1169691826,31685.1169691826
"39",1996,"env_EM_OM1",95136.7348135135,95136.7348135135,95136.7348135135,2096471.29207786,2096471.29207786,2096471.29207786,0.366596815158829,0.366596815158829,0.366596815158829,33093.2522059328,33093.2522059328,33093.2522059328
"40",1996,"no_env_EM_OM2",95136.7348135135,95136.7348135135,95136.7348135135,2096471.29207786,2096471.29207786,2096471.29207786,0.366596815158829,0.366596815158829,0.366596815158829,33093.2522059328,33093.2522059328,33093.2522059328
"41",1997,"env_EM_OM1",97552.2229456989,97552.2229456989,97552.2229456989,3633762.19226956,3633762.19226956,3633762.19226956,0.424209844724023,0.424209844724023,0.424209844724023,34045.4384155464,34045.4384155464,34045.4384155464
"42",1997,"no_env_EM_OM2",97552.2229456989,97552.2229456989,97552.2229456989,3633762.19226956,3633762.19226956,3633762.19226956,0.424209844724023,0.424209844724023,0.424209844724023,34045.4384155464,34045.4384155464,34045.4384155464
"43",1998,"env_EM_OM1",83648.5646759459,83648.5646759459,83648.5646759459,3476687.97033357,3476687.97033357,3476687.97033357,0.411687509365097,0.411687509365097,0.411687509365097,31335.0076311502,31335.0076311502,31335.0076311502
"44",1998,"no_env_EM_OM2",83648.5646759459,83648.5646759459,83648.5646759459,3476687.97033357,3476687.97033357,3476687.97033357,0.411687509365097,0.411687509365097,0.411687509365097,31335.0076311502,31335.0076311502,31335.0076311502
"45",1999,"env_EM_OM1",89355.7639616781,89355.7639616781,89355.7639616781,2989114.18187833,2989114.18187833,2989114.18187833,0.403017529771523,0.403017529771523,0.403017529771523,33136.3246724163,33136.3246724163,33136.3246724163
"46",1999,"no_env_EM_OM2",89355.7639616781,89355.7639616781,89355.7639616781,2989114.18187833,2989114.18187833,2989114.18187833,0.403017529771523,0.403017529771523,0.403017529771523,33136.3246724163,33136.3246724163,33136.3246724163
"47",2000,"env_EM_OM1",90246.7154130318,90246.7154130318,90246.7154130318,6727618.11910545,6727618.11910545,6727618.11910545,0.425394060230538,0.425394060230538,0.425394060230538,33217.4082097842,33217.4082097842,33217.4082097842
"48",2000,"no_env_EM_OM2",90246.7154130318,90246.7154130318,90246.7154130318,6727618.11910545,6727618.11910545,6727618.11910545,0.425394060230538,0.425394060230538,0.425394060230538,33217.4082097842,33217.4082097842,33217.4082097842
"49",2001,"env_EM_OM1",82224.0326234492,82224.0326234492,82224.0326234492,2533188.74599299,2533188.74599299,2533188.74599299,0.481328040252291,0.481328040252291,0.481328040252291,36952.0276058492,36952.0276058492,36952.0276058492
"50",2001,"no_env_EM_OM2",82224.0326234492,82224.0326234492,82224.0326234492,2533188.74599299,2533188.74599299,2533188.74599299,0.481328040252291,0.481328040252291,0.481328040252291,36952.0276058492,36952.0276058492,36952.0276058492
"51",2002,"env_EM_OM1",101037.394692534,101037.394692534,101037.394692534,10144075.4159882,10144075.4159882,10144075.4159882,0.476247520033554,0.476247520033554,0.476247520033554,37326.1606516277,37326.1606516277,37326.1606516277
"52",2002,"no_env_EM_OM2",101037.394692534,101037.394692534,101037.394692534,10144075.4159882,10144075.4159882,10144075.4159882,0.476247520033554,0.476247520033554,0.476247520033554,37326.1606516277,37326.1606516277,37326.1606516277
"53",2003,"env_EM_OM1",87323.8950181953,87323.8950181953,87323.8950181953,1175908.76252829,1175908.76252829,1175908.76252829,0.508070856704969,0.508070856704969,0.508070856704969,40712.8108853047,40712.8108853047,40712.8108853047
"54",2003,"no_env_EM_OM2",87323.8950181953,87323.8950181953,87323.8950181953,1175908.76252829,1175908.76252829,1175908.76252829,0.508070856704969,0.508070856704969,0.508070856704969,40712.8108853047,40712.8108853047,40712.8108853047
"55",2004,"env_EM_OM1",98204.6449683624,98204.6449683624,98204.6449683624,3636262.16320072,3636262.16320072,3636262.16320072,0.554194603148933,0.554194603148933,0.554194603148933,40882.6242011054,40882.6242011054,40882.6242011054
"56",2004,"no_env_EM_OM2",98204.6449683624,98204.6449683624,98204.6449683624,3636262.16320072,3636262.16320072,3636262.16320072,0.554194603148933,0.554194603148933,0.554194603148933,40882.6242011054,40882.6242011054,40882.6242011054
"57",2005,"env_EM_OM1",80060.0833235695,80060.0833235695,80060.0833235695,8070089.22338628,8070089.22338628,8070089.22338628,0.527689546912057,0.527689546912057,0.527689546912057,37327.3300692144,37327.3300692144,37327.3300692144
"58",2005,"no_env_EM_OM2",80060.0833235695,80060.0833235695,80060.0833235695,8070089.22338628,8070089.22338628,8070089.22338628,0.527689546912057,0.527689546912057,0.527689546912057,37327.3300692144,37327.3300692144,37327.3300692144
"59",2006,"env_EM_OM1",71248.0901986092,71248.0901986092,71248.0901986092,2220270.48568014,2220270.48568014,2220270.48568014,0.479939534859145,0.479939534859145,0.479939534859145,33908.9247023421,33908.9247023421,33908.9247023421
"60",2006,"no_env_EM_OM2",71248.0901986092,71248.0901986092,71248.0901986092,2220270.48568014,2220270.48568014,2220270.48568014,0.479939534859145,0.479939534859145,0.479939534859145,33908.9247023421,33908.9247023421,33908.9247023421
"61",2007,"env_EM_OM1",88230.8351172132,88230.8351172132,88230.8351172132,6778339.90147562,6778339.90147562,6778339.90147562,0.461770893879179,0.461770893879179,0.461770893879179,30835.7671153316,30835.7671153316,30835.7671153316
"62",2007,"no_env_EM_OM2",88230.8351172132,88230.8351172132,88230.8351172132,6778339.90147562,6778339.90147562,6778339.90147562,0.461770893879179,0.461770893879179,0.461770893879179,30835.7671153316,30835.7671153316,30835.7671153316
"63",2008,"env_EM_OM1",88433.9154106084,88433.9154106084,88433.9154106084,3511643.15459751,3511643.15459751,3511643.15459751,0.361752815075671,0.361752815075671,0.361752815075671,29849.5315879547,29849.5315879547,29849.5315879547
"64",2008,"no_env_EM_OM2",88433.9154106084,88433.9154106084,88433.9154106084,3511643.15459751,3511643.15459751,3511643.15459751,0.361752815075671,0.361752815075671,0.361752815075671,29849.5315879547,29849.5315879547,29849.5315879547
"65",2009,"env_EM_OM1",106516.682693219,106516.682693219,106516.682693219,3480844.98401274,3480844.98401274,3480844.98401274,0.367389670640072,0.367389670640072,0.367389670640072,32841.6295094387,32841.6295094387,32841.6295094387
"66",2009,"no_env_EM_OM2",106516.682693219,106516.682693219,106516.682693219,3480844.98401274,3480844.98401274,3480844.98401274,0.367389670640072,0.367389670640072,0.367389670640072,32841.6295094387,32841.6295094387,32841.6295094387
"67",2010,"env_EM_OM1",100328.123341764,100328.123341764,100328.123341764,1393329.4061574,1393329.4061574,1393329.4061574,0.326934340193616,0.326934340193616,0.326934340193616,28458.1850258864,28458.1850258864,28458.1850258864
"68",2010,"no_env_EM_OM2",100328.123341764,100328.123341764,100328.123341764,1393329.4061574,1393329.4061574,1393329.4061574,0.326934340193616,0.326934340193616,0.326934340193616,28458.1850258864,28458.1850258864,28458.1850258864
"69",2011,"env_EM_OM1",105467.003779123,105467.003779123,105467.003779123,5768792.80677485,5768792.80677485,5768792.80677485,0.319041475319459,0.319041475319459,0.319041475319459,29863.6242240312,29863.6242240312,29863.6242240312
"70",2011,"no_env_EM_OM2",105467.003779123,105467.003779123,105467.003779123,5768792.80677485,5768792.80677485,5768792.80677485,0.319041475319459,0.319041475319459,0.319041475319459,29863.6242240312,29863.6242240312,29863.6242240312
"71",2012,"env_EM_OM1",93165.6337702663,93165.6337702663,93165.6337702663,6457283.36753235,6457283.36753235,6457283.36753235,0.290566991362901,0.290566991362901,0.290566991362901,27344.5299425684,27344.5299425684,27344.5299425684
"72",2012,"no_env_EM_OM2",93165.6337702663,93165.6337702663,93165.6337702663,6457283.36753235,6457283.36753235,6457283.36753235,0.290566991362901,0.290566991362901,0.290566991362901,27344.5299425684,27344.5299425684,27344.5299425684
"73",2013,"env_EM_OM1",109299.050649148,109299.050649148,109299.050649148,1331553.98228835,1331553.98228835,1331553.98228835,0.244927481208671,0.244927481208671,0.244927481208671,25090.1726067433,25090.1726067433,25090.1726067433
"74",2013,"no_env_EM_OM2",109299.050649148,109299.050649148,109299.050649148,1331553.98228835,1331553.98228835,1331553.98228835,0.244927481208671,0.244927481208671,0.244927481208671,25090.1726067433,25090.1726067433,25090.1726067433
"75",2014,"env_EM_OM1",128408.32430271,128408.32430271,128408.32430271,2715916.04662353,2715916.04662353,2715916.04662353,0.24877538731976,0.24877538731976,0.24877538731976,26067.274311874,26067.274311874,26067.274311874
"76",2014,"no_env_EM_OM2",128408.32430271,128408.32430271,128408.32430271,2715916.04662353,2715916.04662353,2715916.04662353,0.24877538731976,0.24877538731976,0.24877538731976,26067.274311874,26067.274311874,26067.274311874
"77",2015,"env_EM_OM1",113680.426241447,113680.426241447,113680.426241447,4772089.00888598,4772089.00888598,4772089.00888598,0.29439931717376,0.29439931717376,0.29439931717376,31174.6487032306,31174.6487032306,31174.6487032306
"78",2015,"no_env_EM_OM2",113680.426241447,113680.426241447,113680.426241447,4772089.00888598,4772089.00888598,4772089.00888598,0.29439931717376,0.29439931717376,0.29439931717376,31174.6487032306,31174.6487032306,31174.6487032306
