"","scenario","sp.name","year","FI","ssb","rec","Yield"
"1","Case-study_noCC","Herring",1974,0.7588798,231.55969,9.76504,266.0127707
"2","Case-study_noCC","Herring",1975,1.3042258,160.38451,4.1549,253.936978
"3","Case-study_noCC","Herring",1976,0.8217317,85.84528,2.27249,159.2551815
"4","Case-study_noCC","Herring",1977,0.20984378,61.020586,1.40772,39.3143447
"5","Case-study_noCC","Herring",1978,0,72.91383,1.13919,0
"6","Case-study_noCC","Herring",1979,0,99.81087,4.2996,0
"7","Case-study_noCC","Herring",1980,0.12016436,127.81693,15.4957,73.4498774
"8","Case-study_noCC","Herring",1981,0.17640074,196.64405,20.8831,208.7451796
"9","Case-study_noCC","Herring",1982,0.14514714,350.2555,30.5954,277.06982
"10","Case-study_noCC","Herring",1983,0.32908226,619.4064,27.0698,430.2153877
"11","Case-study_noCC","Herring",1984,0.52961984,922.1063,31.0249,460.933687
"12","Case-study_noCC","Herring",1985,0.58612294,964.23796,46.2658,659.339468
"13","Case-study_noCC","Herring",1986,0.48184306,915.1545,52.6667,752.730421
"14","Case-study_noCC","Herring",1987,0.44578588,1041.9821,40.9552,1008.725363
"15","Case-study_noCC","Herring",1988,0.45439118,1388.755,22.2127,1140.872967
"16","Case-study_noCC","Herring",1989,0.38698212,1418.7947,19.8513,910.318178
"17","Case-study_noCC","Herring",1990,0.37990196,1447.7683,19.5452,739.05632
"18","Case-study_noCC","Herring",1991,0.39866822,1277.231,21.3652,685.045255
"19","Case-study_noCC","Herring",1992,0.54486654,1037.9571,31.067,764.4316
"20","Case-study_noCC","Herring",1993,0.73706082,739.9792,32.9629,687.90159
"21","Case-study_noCC","Herring",1994,0.69873378,745.5892,24.9279,597.20772
"22","Case-study_noCC","Herring",1995,0.81420278,717.5503,26.3676,595.416686
"23","Case-study_noCC","Herring",1996,0.32842296,613.8649,26.9955,274.3717617
"24","Case-study_noCC","Herring",1997,0.28901004,731.4918,17.2294,264.055839
"25","Case-study_noCC","Herring",1998,0.43480576,993.3717,13.0516,380.193317
"26","Case-study_noCC","Herring",1999,0.33357768,1051.398,38.7461,369.621777
"27","Case-study_noCC","Herring",2000,0.3329749,1080.7987,24.9031,421.77943
"28","Case-study_noCC","Herring",2001,0.26654598,1403.6539,67.4674,363.6912387
"29","Case-study_noCC","Herring",2002,0.23786614,1741.8249,27.1564,390.438144
"30","Case-study_noCC","Herring",2003,0.2481339,1976.9937,18.6826,487.43234
"31","Case-study_noCC","Herring",2004,0.26330118,2185.2915,21.3184,589.575669
"32","Case-study_noCC","Herring",2005,0.34292734,2156.3095,14.6768,665.39644
"33","Case-study_noCC","Herring",2006,0.27782698,1591.1039,17.0225,513.246729
"34","Case-study_noCC","Herring",2007,0.2450066,1244.5221,21.6824,406.368329
"35","Case-study_noCC","Herring",2008,0.17291617,1111.3688,19.6346,258.712891
"36","Case-study_noCC","Herring",2009,0.101812658,1248.4956,22.1427,168.588998
"37","Case-study_noCC","Herring",2010,0.11508248,1322.1095,22.2495,186.255103
"38","Case-study_noCC","Herring",2011,0.103211948,1772.3529,19.8325,224.0493293
"39","Case-study_noCC","Herring",2012,0.196455128,2088.1422,19.1553,434.509325
"40","Case-study_noCC","Herring",2013,0.22559307,1898.867,31.5267,511.21947
"41","Case-study_noCC","Herring",2014,0.21804767,1702.954,35.9912,518.0419736
"42","Case-study_noCC","Herring",2015,0.24194578,1629.382,9.70052,494.949169
"43","Case-study_noCC","Herring",2016,0.246371,1879.231,14.828,563.618342
"44","Case-study_noCC","Herring",2017,0.186973982,1712.107,7.49557,490.97533
"45","Case-study_noCC","Herring",2018,0.24780678,1520.7794,17.7671,591.79746
"46","Case-study_noCC","Herring",2019,0.223565024,1271.7445,14.1253,432.12261
"47","Case-study_noCC","Herring",2020,0.21,1124.0798,23.3562,289.816234
"48","Case-study_noCC","Herring",2022,0.30936244,1230.2944,23.2358,412.68273
"49","Case-study_noCC","Herring",2023,0.29596914,1177.0287,23.3198,340.000601
"50","Case-study_noCC","Herring",2024,0.24665296,980.9063,23.18,229.452505
"51","Case-study_noCC","Herring",2025,0.200813748,798.609,22.2317,164.247334
"52","Case-study_noCC","Herring",2026,0.193934668,771.2505,22.0045,158.751907
"53","Case-study_noCC","Herring",2027,0.210297934,836.326,22.5057,187.867155
"54","Case-study_noCC","Herring",2028,0.23757948,944.821,23.0632,237.059202
"55","Case-study_noCC","Herring",2029,0.26266014,1044.5633,23.3118,285.220374
"56","Case-study_noCC","Herring",2030,0.2779732,1105.4613,23.3569,312.865948
"57","Case-study_noCC","Herring",2031,0.2794044,1111.1529,23.3574,314.052948
"58","Case-study_noCC","Herring",2032,0.2749371,1093.3871,23.3538,305.244462
"59","Case-study_noCC","Herring",2033,0.27144684,1079.5086,23.3468,299.398502
"60","Case-study_noCC","Herring",2034,0.27149046,1079.6807,23.3469,300.573639
"61","Case-study_noCC","Herring",2035,0.2741158,1090.1205,23.3525,306.404881
"62","Case-study_noCC","Herring",2036,0.2769803,1101.5132,23.3562,312.120827
"63","Case-study_noCC","Herring",2037,0.27834006,1106.9191,23.3571,314.489067
"64","Case-study_noCC","Herring",2038,0.27795704,1105.3986,23.3569,313.300547
"65","Case-study_noCC","Herring",2039,0.27673394,1100.5355,23.356,310.959506
"66","Case-study_noCC","Herring",2040,0.27615038,1098.2128,23.3554,310.231323
"67","Case-study_noCC","Herring",2041,0.27666424,1100.2565,23.3559,311.689451
"68","Case-study_noCC","Herring",2042,0.27782048,1104.8537,23.3568,314.29063
"69","Case-study_noCC","Herring",2043,0.27889828,1109.1404,23.3573,316.453705
"70","Case-study_noCC","Herring",2044,0.2793145,1110.7959,23.3574,317.141099
"71","Case-study_noCC","Herring",2045,0.27905954,1109.7821,23.3573,316.495829
"72","Case-study_noCC","Herring",2046,0.27857204,1107.8426,23.3572,315.602272
"73","Case-study_noCC","Herring",2047,0.27838692,1107.1061,23.3571,315.356786
"74","Case-study_noCC","Herring",2048,0.27854514,1107.7373,23.3572,315.845565
"75","Case-study_noCC","Herring",2049,0.27898988,1109.5039,23.3573,316.965142
"76","Case-study_noCC","Herring",2050,0.27955488,1111.7523,23.3574,318.181522
"77","Case-study_noCC","Nor.pout",1974,2.468944,289.16,296.519,732.53482
"78","Case-study_noCC","Nor.pout",1975,1.64387465,279.994857,437.039,508.26122
"79","Case-study_noCC","Nor.pout",1976,1.5224247,349.86366,324.145,472.6081
"80","Case-study_noCC","Nor.pout",1977,1.0906025,342.06122,170.41,383.9666
"81","Case-study_noCC","Nor.pout",1978,1.2317536,298.4487,210.768,253.75616
"82","Case-study_noCC","Nor.pout",1979,1.32269955,257.6187,238.073,339.89802
"83","Case-study_noCC","Nor.pout",1980,1.38928165,371.88192,125.229,534.6499
"84","Case-study_noCC","Nor.pout",1981,1.12269295,287.05,191.22,431.92782
"85","Case-study_noCC","Nor.pout",1982,1.21148445,158.147,224.416,390.19692
"86","Case-study_noCC","Nor.pout",1983,1.5412998,240.68174,149.705,475.747
"87","Case-study_noCC","Nor.pout",1984,1.79489345,264.03539,115.705,376.483903
"88","Case-study_noCC","Nor.pout",1985,2.247639,172.7521,94.6504,227.634972
"89","Case-study_noCC","Nor.pout",1986,1.3174862,89.14928,134.926,180.330076
"90","Case-study_noCC","Nor.pout",1987,1.7503282,122.57884,41.5738,148.92635
"91","Case-study_noCC","Nor.pout",1988,0.94258805,83.0002,88.6904,109.21943
"92","Case-study_noCC","Nor.pout",1989,1.07631695,75.1807,90.5653,166.74228
"93","Case-study_noCC","Nor.pout",1990,1.1923404,122.70078,109.104,138.8413
"94","Case-study_noCC","Nor.pout",1991,1.7090076,139.47559,129.943,189.81918
"95","Case-study_noCC","Nor.pout",1992,0.96790925,162.5858,89.6293,302.27539
"96","Case-study_noCC","Nor.pout",1993,1.65956005,203.9983,68.3101,181.097588
"97","Case-study_noCC","Nor.pout",1994,1.29326465,89.22873,173.415,183.61828
"98","Case-study_noCC","Nor.pout",1995,0.7277371,160.57614,88.3115,231.894454
"99","Case-study_noCC","Nor.pout",1996,0.82572245,245.01284,121.218,156.22424
"100","Case-study_noCC","Nor.pout",1997,0.74697155,166.1471,37.9921,156.781548
"101","Case-study_noCC","Nor.pout",1998,0.60588335,198.22325,79.2273,73.980497
"102","Case-study_noCC","Nor.pout",1999,0.86846575,105.3018,112.487,92.388104
"103","Case-study_noCC","Nor.pout",2000,0.7485117,139.67954,51.1592,185.103762
"104","Case-study_noCC","Nor.pout",2001,0.28780255,183.1745,72.9102,64.358235
"105","Case-study_noCC","Nor.pout",2002,0.7289192,106.6846,42.5673,77.13822
"106","Case-study_noCC","Nor.pout",2003,0.933536375,59.4979,19.3656,24.569144
"107","Case-study_noCC","Nor.pout",2004,0.65050853,36.292,25.2027,13.487771
"108","Case-study_noCC","Nor.pout",2005,0,23.86979,57.4175,0.04144
"109","Case-study_noCC","Nor.pout",2006,0.862815205,48.74232,38.2544,46.529024
"110","Case-study_noCC","Nor.pout",2007,0,60.06158,52.3778,5.799451
"111","Case-study_noCC","Nor.pout",2008,0.4841404425,73.3772,87.4364,34.84358
"112","Case-study_noCC","Nor.pout",2009,0.4917373605,98.91465,94.3184,45.821459
"113","Case-study_noCC","Nor.pout",2010,1.03404665,178.45056,24.7261,131.191062
"114","Case-study_noCC","Nor.pout",2011,0.051916797,148.28922,53.3982,6.839861
"115","Case-study_noCC","Nor.pout",2012,0.0778698,72.5022,103.849,26.946185
"116","Case-study_noCC","Nor.pout",2013,0.775380635,82.5971,36.3479,82.179503
"117","Case-study_noCC","Nor.pout",2014,0.835226515,92.21023,126.105,44.189139
"118","Case-study_noCC","Nor.pout",2015,0.72108428,93.34529,76.0954,57.351168
"119","Case-study_noCC","Nor.pout",2016,1.01592866,157.82236,97.7589,60.202685
"120","Case-study_noCC","Nor.pout",2017,0.4107002405,86.55916,48.2253,33.940902
"121","Case-study_noCC","Nor.pout",2018,0.77114776,98.43368,120.05,36.151546
"122","Case-study_noCC","Nor.pout",2019,0.989817885,90.77101,180.08,97.554556
"123","Case-study_noCC","Nor.pout",2020,0.54,252.72134,91.7016,145.7945209
"124","Case-study_noCC","Nor.pout",2022,0.7,423.5827,91.7016,139.089157
"125","Case-study_noCC","Nor.pout",2023,0.4171826085,137.5563,91.7016,17.5847023
"126","Case-study_noCC","Nor.pout",2024,0,58.22603,91.7016,0
"127","Case-study_noCC","Nor.pout",2025,0,50.95783,91.7016,0
"128","Case-study_noCC","Nor.pout",2026,0,57.36727,91.7016,0
"129","Case-study_noCC","Nor.pout",2027,0.0807416305,68.64716,91.7016,2.83591642
"130","Case-study_noCC","Nor.pout",2028,0.1636427005,79.52326,91.7016,6.62944997
"131","Case-study_noCC","Nor.pout",2029,0.188432491,83.43885,91.7016,7.81896242
"132","Case-study_noCC","Nor.pout",2030,0.175276062,82.48017,91.7016,6.89415411
"133","Case-study_noCC","Nor.pout",2031,0.1458228715,78.8933,91.7016,5.43791888
"134","Case-study_noCC","Nor.pout",2032,0.1329760525,77.04775,91.7016,4.8675626
"135","Case-study_noCC","Nor.pout",2033,0.1354690255,76.99459,91.7016,5.02669813
"136","Case-study_noCC","Nor.pout",2034,0.146573795,78.17008,91.7016,5.58629602
"137","Case-study_noCC","Nor.pout",2035,0.156960983,79.48783,91.7016,6.11033874
"138","Case-study_noCC","Nor.pout",2036,0.161489475,80.21494,91.7016,6.32761238
"139","Case-study_noCC","Nor.pout",2037,0.160583895,80.21655,91.7016,6.26524415
"140","Case-study_noCC","Nor.pout",2038,0.156752039,79.81827,91.7016,6.06205188
"141","Case-study_noCC","Nor.pout",2039,0.154938246,79.48156,91.7016,5.99160828
"142","Case-study_noCC","Nor.pout",2040,0.1582425305,79.76736,91.7016,6.17671704
"143","Case-study_noCC","Nor.pout",2041,0.1631818425,80.3519,91.7016,6.44233914
"144","Case-study_noCC","Nor.pout",2042,0.1674709075,80.89874,91.7016,6.66929093
"145","Case-study_noCC","Nor.pout",2043,0.1690923925,81.18984,91.7016,6.74461794
"146","Case-study_noCC","Nor.pout",2044,0.167790301,81.0979,91.7016,6.67079884
"147","Case-study_noCC","Nor.pout",2045,0.1656817175,80.86525,91.7016,6.56321926
"148","Case-study_noCC","Nor.pout",2046,0.165368665,80.76758,91.7016,6.55753795
"149","Case-study_noCC","Nor.pout",2047,0.1666891795,80.91316,91.7016,6.63101343
"150","Case-study_noCC","Nor.pout",2048,0.168206196,81.09304,91.7016,6.72052943
"151","Case-study_noCC","Nor.pout",2049,0.170707697,81.36721,91.7016,6.86243044
"152","Case-study_noCC","Nor.pout",2050,0.1726941495,81.65484,91.7016,6.96780416
"153","Case-study_noCC","Sprat",1974,0.6744606,522.5234,382.893,365.135159
"154","Case-study_noCC","Sprat",1975,1.61232335,612.925,824.679,816.82028
"155","Case-study_noCC","Sprat",1976,1.42272665,754.7322,321.971,722.4646
"156","Case-study_noCC","Sprat",1977,1.3876328,406.19951,401.433,374.68172
"157","Case-study_noCC","Sprat",1978,1.03214915,364.0015,740.909,488.13318
"158","Case-study_noCC","Sprat",1979,0.62817475,542.63375,297.055,493.81966
"159","Case-study_noCC","Sprat",1980,1.73814005,613.5849,158.892,413.62074
"160","Case-study_noCC","Sprat",1981,1.1128358,164.8451,62.9174,293.229113
"161","Case-study_noCC","Sprat",1982,0.9052741,100.8944,39.0216,199.54564
"162","Case-study_noCC","Sprat",1983,1.82094,139.487,70.864,115.61963
"163","Case-study_noCC","Sprat",1984,1.0044931,94.51211,52.3474,112.831855
"164","Case-study_noCC","Sprat",1985,1.17112115,155.57215,31.5783,69.432199
"165","Case-study_noCC","Sprat",1986,1.70056505,71.88947,93.2776,30.00331
"166","Case-study_noCC","Sprat",1987,0.407073575,134.86996,36.066,46.6849459
"167","Case-study_noCC","Sprat",1988,1.4435744,136.83604,52.4912,97.12866
"168","Case-study_noCC","Sprat",1989,0.5104061,68.12847,106.846,75.02719427
"169","Case-study_noCC","Sprat",1990,1.36254675,139.53516,98.5642,83.02336716
"170","Case-study_noCC","Sprat",1991,1.25821,102.67541,63.3591,126.0227763
"171","Case-study_noCC","Sprat",1992,0.5362795,90.18058,90.913,134.7945403
"172","Case-study_noCC","Sprat",1993,1.26210915,118.6357,169.941,213.725999
"173","Case-study_noCC","Sprat",1994,0.5745747,142.76682,114.889,421.81738
"174","Case-study_noCC","Sprat",1995,1.40988155,217.67954,38.5201,419.477128
"175","Case-study_noCC","Sprat",1996,1.2560289,127.1778,35.0925,164.39906
"176","Case-study_noCC","Sprat",1997,0.87323425,66.19869,46.2967,120.7833717
"177","Case-study_noCC","Sprat",1998,1.46734285,135.51256,103.39,185.551833
"178","Case-study_noCC","Sprat",1999,0.9301348,116.75064,77.2089,221.48473622
"179","Case-study_noCC","Sprat",2000,1.1392344,117.89307,54.032,227.074004
"180","Case-study_noCC","Sprat",2001,1.5084958,113.01269,64.1184,221.366156
"181","Case-study_noCC","Sprat",2002,1.38264175,167.89607,55.5137,162.483392
"182","Case-study_noCC","Sprat",2003,1.24283465,90.02809,67.9539,198.528044
"183","Case-study_noCC","Sprat",2004,1.3113324,159.79608,187.738,218.197332
"184","Case-study_noCC","Sprat",2005,0.9400835,162.83359,55.8074,248.457882
"185","Case-study_noCC","Sprat",2006,1.6407843,183.28674,64.6815,129.55435
"186","Case-study_noCC","Sprat",2007,1.10297095,142.3944,52.9127,102.002382
"187","Case-study_noCC","Sprat",2008,0.95487275,81.72228,128.378,70.541546
"188","Case-study_noCC","Sprat",2009,0.6325217,247.4948,125.387,142.246271
"189","Case-study_noCC","Sprat",2010,0.6819491,224.419,143.356,160.2215481
"190","Case-study_noCC","Sprat",2011,0.7811661,238.6605,107.943,154.1318103
"191","Case-study_noCC","Sprat",2012,0.8419376,245.5465,62.6616,98.140065
"192","Case-study_noCC","Sprat",2013,1.1503497,92.7505,214.6,66.1693563
"193","Case-study_noCC","Sprat",2014,0.20748099,381.1958,160.056,158.83238882
"194","Case-study_noCC","Sprat",2015,0.98518425,421.2769,111.451,307.83893
"195","Case-study_noCC","Sprat",2016,2.00666625,227.9545,141.424,259.86144
